DISTRICTWISE Ground water Level (in m.) Report (<ALL AGENCIES> - <2012> to <2020>),,,,,,,,,,
,,2012,2013,2014,2015,2016,2017,2018,2019,2020
STATE,DISTRICT,Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m),Level (m)
MADHYA PRADESH,SIDHI,10.14,8.09,8.36,9.97,9.65,10.28,9.63,4.11,-
WEST BENGAL,SOUTH 24 PARGANAS,7.07,7.64,7.96,7.99,8.52,9.09,8.72,8.06,-
UTTAR PRADESH,FIROZABAD,8.66,10.84,9.54,15.25,17.9,21.49,26.78,28.47,28.68
ASSAM,NAGAON,3.23,4.31,4.61,5.64,5.62,4.99,4.74,3.4,-
MADHYA PRADESH,BURHANPUR,12.01,12.81,12.22,13.18,11.38,12.87,14.34,3.61,-
TAMILNADU,VILUPPURAM,6.12,7.85,11.57,11.91,10.82,8.17,9.35,4.66,-
MADHYA PRADESH,SATNA,11.42,8.5,9.04,10.18,10.55,11.31,10.49,4.11,-
KERALA,PATHANAMTHITTA,6.41,6.11,6.03,6.14,6.1,6.19,5.58,1.89,-
MADHYA PRADESH,SHAJAPUR,11.39,10.6,11.16,11.46,10.77,11.21,11.44,3.58,-
MADHYA PRADESH,SHEOPUR,13.14,10.31,12.25,11.63,12.34,14.4,12.24,3.55,-
GUJARAT,PATAN,23.25,26.22,49.45,20.32,49.26,62.56,50.71,36.34,-
GUJARAT,TAPI,7.42,6.91,12.43,7.72,7.93,7.9,6.04,3.16,-
KARNATAKA,KOLAR,19,12.64,15.53,4.7,5.36,12.19,16.2,4.93,-
UTTAR PRADESH,SITAPUR,5.55,5.44,5.76,6.31,6.57,6.71,6.59,13.06,33.38
UTTAR PRADESH,SHRAWASTI,4.33,4.51,4.11,4.66,4.57,3.98,4.32,12.78,13.75
RAJASTHAN,CHITTAURGARH,12.14,11.66,10.48,11.44,10.27,11.96,13.99,4.49,-
CHHATTISGARH,DURG,5.43,6.27,6.27,6.81,9.13,7.46,7.76,3.16,-
GUJARAT,SURAT,7.87,6.56,11.62,6.97,6.8,7.06,6.9,3.15,-
ODISHA,BARGARH,4.33,4.43,4.3,4.85,5.08,4.24,4.11,2.81,-
